101,643,64200,257,8993,397.865671642,372.452076594
421,71,29400,257,22193,884.838709677,840.942409584
307,71,21420,257,19253,757.890243902,740.454377258
229,347,78888,65537,58745,0.851314446878,0.871405642498
563,953,535024,65537,43937,0.696529387155,0.685970167575
919,797,730728,65537,118601,1.9983757727,1.85068856178
911,337,305760,65537,52673,0.827943808947,0.805127055679
179,193,34176,257,13697,460.237837838,519.474695882
787,521,408720,65537,8993,0.140104905182,0.132334663554
733,383,279624,65537,34961,0.519319049481,0.516921768215
487,389,188568,65537,140201,2.25771655569,2.1995910746
229,857,195168,65537,86561,1.34379075613,1.35185844143
683,853,581064,65537,115961,1.85712744804,1.80563560876
863,53,44824,257,13953,609.876811594,570.769170587
907,307,277236,65537,63521,0.944193511831,0.953751596126
571,433,246240,65537,9953,0.14089397123,0.14605056782
661,571,376200,65537,269873,4.19507679453,4.22098860609
37,727,26136,257,20441,921.179104478,807.648795858
569,887,503248,65537,48369,0.749632668903,0.715398614983
683,263,178684,65537,54581,0.773856983491,0.799744106203
739,641,472320,65537,40193,0.656555681403,0.604809024909
827,709,584808,65537,102065,1.64057641513,1.61302823166
919,907,831708,65537,340757,5.1605087623,5.57036238495
523,233,121104,65537,54017,0.923322893674,0.897295199658
727,743,538692,65537,322145,5.67032078333,5.5123734321
227,751,169500,65537,106973,1.73046974235,1.79182104578
821,53,42640,257,36833,1312.9558011,1411.8986788
557,53,28912,257,225,11.3923076923,11.2666090937
397,109,42768,257,13313,544.283018868,548.238418838
593,761,449920,65537,323073,5.27637204525,5.18313122946
487,181,87480,65537,48833,0.78395698034,0.737689280091
821,367,300120,65537,236993,3.76606722457,3.89376931596
907,347,313476,65537,210293,3.3327673437,3.39530886567
769,937,718848,65537,489473,8.23568977962,8.05978221347
773,937,722592,65537,661697,11.5685057975,10.7166304071
223,131,28860,257,7973,310.088050314,375.331342227
797,977,776896,65537,553217,8.78728279111,9.19416820383
521,743,385840,65537,161873,2.37618897155,2.6049231667
853,757,644112,65537,35873,0.530526315789,0.544090042239
997,499,496008,65537,345617,5.67279214012,5.59488620088
751,983,736500,65537,390473,6.17993485022,6.39336126098
547,727,396396,65537,230669,3.82852142901,3.69930957911
233,137,31552,257,7489,338.21192053,299.060010732
151,677,101400,65537,60473,0.950756060313,0.943758037208
281,83,22960,257,17153,322.266106443,581.93600052
251,983,245500,65537,144973,2.38745971798,2.36290182832
331,467,153780,65537,94973,1.50730150355,1.49786425183
227,601,135600,65537,73073,1.16302747329,1.15410340822
37,599,21528,257,2513,92.5560538117,107.835482875
659,691,454020,65537,339533,5.50654691483,5.57903122221
733,757,553392,65537,99377,1.57215983097,1.61382822384
31,211,6300,257,5393,244.798780488,199.948061373
37,163,5832,257,5537,207.723756906,198.753833958
919,199,181764,65537,98405,1.81713115194,1.63402824389
643,787,504612,65537,152045,2.48118144547,2.44559800134
787,823,646092,65537,90737,1.43773520979,1.42596059951
683,83,55924,257,13709,620.896774194,543.775164193
263,419,109516,65537,25761,0.39837787885,0.393205273336
239,227,53788,257,48765,2013.89285714,1747.25618388
89,373,32736,257,25985,968.679347826,942.415729472
